city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3372964,Lagoa,PT,39.05,-27.9833,04/30/21,            59,69,100,7.87
1642858,Jambi City,ID,-1.6,103.6167,04/30/21,            72.43,98,100,2.24
6165875,Three Hills,CA,51.7001,-113.2686,04/30/21,            78.08,12,45,19.57
553416,Kamenskiy,RU,50.8855,45.488,04/30/21,            48.83,89,100,11.86
1054463,Tsiroanomandidy,MG,-18.7667,46.0333,04/30/21,            63.59,89,2,2.59
1310120,Mawlaik,MM,23.6333,94.4167,04/30/21,            70.83,87,9,0.81
2121025,Srednekolymsk,RU,67.45,153.6833,04/30/21,            23.77,79,9,10.76
5710035,West Wendover,US,40.7391,-114.0733,04/30/21,            80.6,17,1,9.22
5888716,Aylmer,CA,42.7668,-80.983,04/30/21,            45.23,39,20,31.07
3652758,Puerto Baquerizo Moreno,EC,-0.9,-89.6,04/30/21,            80.6,78,20,10.36
161616,Balkanabat,TM,39.5108,54.3671,04/30/21,            73.35,42,19,10.22
6148373,Sioux Lookout,CA,50.1001,-91.917,04/30/21,            53.6,24,40,10.36
3894426,Coyhaique,CL,-45.5752,-72.0662,04/30/21,            51.8,82,75,4.61
3395981,Maceió,BR,-9.6658,-35.7353,04/30/21,            78.8,83,75,11.5
4031742,Egvekinot,RU,66.3167,-179.1667,04/30/21,            20.7,89,100,1.81
2130741,Abashiri,JP,44.0213,144.2697,04/30/21,            37.36,95,100,18.99
3421319,Nuuk,GL,64.1835,-51.7216,04/30/21,            35.29,87,26,6.91
5225857,Aberdeen,US,45.4647,-98.4865,04/30/21,            71.94,23,1,18.41
625721,Lyuban',BY,52.7985,28.0048,04/30/21,            43.27,93,61,6.98
1735799,Sri Aman,MY,1.2376,111.4621,04/30/21,            73.2,100,95,1.39
503581,Pyaozerskiy,RU,65.8333,31.1667,04/30/21,            22.41,85,81,6.8
1695546,Pandan,PH,14.0453,124.1694,04/30/21,            78.37,72,7,3.27
3405778,Bequimão,BR,-2.4489,-44.7825,04/30/21,            77,100,40,5.75
3385670,Urucará,BR,-2.5364,-57.76,04/30/21,            75.06,94,98,0.81
2138555,Poum,NC,-20.2333,164.0167,04/30/21,            75.69,68,72,8.9
